DATE,CE16OV
1952-01-01,59908
1952-04-01,60219
1952-07-01,60521
1952-10-01,60954
1953-01-01,62010
1953-04-01,61456
1953-07-01,60906
1953-10-01,59977
1954-01-01,60186
1954-04-01,59792
1954-07-01,60282
1954-10-01,60116
1955-01-01,60964
1955-04-01,61781
1955-07-01,62950
1955-10-01,63684
1956-01-01,63411
1956-04-01,63820
1956-07-01,64079
1956-10-01,63910
1957-01-01,64404
1957-04-01,64196
1957-07-01,64121
1957-10-01,63922
1958-01-01,62731
1958-04-01,62730
1958-07-01,63181
1958-10-01,63549
1959-01-01,64267
1959-04-01,64849
1959-07-01,64770
1959-10-01,65341
1960-01-01,64673
1960-04-01,66168
1960-07-01,66267
1960-10-01,65778
1961-01-01,65850
1961-04-01,65993
1961-07-01,65541
1961-10-01,65900
1962-01-01,66493
1962-04-01,66670
1962-07-01,67192
1962-10-01,66947
1963-01-01,67351
1963-04-01,67649
1963-07-01,68174
1963-10-01,68213
1964-01-01,68763
1964-04-01,69218
1964-07-01,69578
1964-10-01,69814
1965-01-01,70439
1965-04-01,71025
1965-07-01,71286
1965-10-01,72062
1966-01-01,72188
1966-04-01,72775
1966-07-01,73258
1966-10-01,73729
1967-01-01,73439
1967-04-01,74278
1967-07-01,74854
1967-10-01,75473
1968-01-01,75379
1968-04-01,76182
1968-07-01,76172
1968-10-01,76778
1969-01-01,77367
1969-04-01,77880
1969-07-01,78250
1969-10-01,78740
1970-01-01,78863
1970-04-01,78413
1970-07-01,78498
1970-10-01,78594
1971-01-01,78588
1971-04-01,78757
1971-07-01,79689
1971-10-01,80471
1972-01-01,81573
1972-04-01,82083
1972-07-01,82543
1972-10-01,83400
1973-01-01,84452
1973-04-01,85185
1973-07-01,85488
1973-10-01,86401
1974-01-01,86819
1974-04-01,86941
1974-07-01,87051
1974-10-01,86144
1975-01-01,85187
1975-04-01,85355
1975-07-01,86279
1975-10-01,86665
1976-01-01,87985
1976-04-01,88563
1976-07-01,89173
1976-10-01,89803
1977-01-01,90808
1977-04-01,91959
1977-07-01,92702
1977-10-01,94105
1978-01-01,94755
1978-04-01,96343
1978-07-01,96670
1978-10-01,97581
1979-01-01,98480
1979-04-01,98679
1979-07-01,99340
1979-10-01,99933
1980-01-01,99713
1980-04-01,98682
1980-07-01,99077
1980-10-01,99634
1981-01-01,100571
1981-04-01,100298
1981-07-01,100064
1981-10-01,99645
1982-01-01,99672
1982-04-01,99543
1982-07-01,99504
1982-10-01,99032
1983-01-01,99179
1983-04-01,100633
1983-07-01,102016
1983-10-01,102996
1984-01-01,103967
1984-04-01,105591
1984-07-01,105490
1984-10-01,106223
1985-01-01,106989
1985-04-01,106505
1985-07-01,107657
1985-10-01,108216
1986-01-01,108837
1986-04-01,109576
1986-07-01,110085
1986-10-01,110728
1987-01-01,111408
1987-04-01,112246
1987-07-01,112909
1987-10-01,113793
1988-01-01,114037
1988-04-01,114927
1988-07-01,115356
1988-10-01,116104
1989-01-01,117022
1989-04-01,117418
1989-07-01,117354
1989-10-01,117830
1990-01-01,119203
1990-04-01,118983
1990-07-01,118524
1990-10-01,118241
1991-01-01,117652
1991-04-01,117639
1991-07-01,117928
1991-10-01,117466
1992-01-01,118144
1992-04-01,118419
1992-07-01,118720
1992-10-01,118997
1993-01-01,119542
1993-04-01,120290
1993-07-01,120554
1993-10-01,121464
1994-01-01,121930
1994-04-01,122634
1994-07-01,123687
1994-10-01,124721
1995-01-01,124955
1995-04-01,124522
1995-07-01,125133
1995-10-01,125088
1996-01-01,125862
1996-04-01,126602
1996-07-01,127536
1996-10-01,127860
1997-01-01,128891
1997-04-01,129412
1997-07-01,130019
1997-10-01,130679
1998-01-01,130814
1998-04-01,131244
1998-07-01,131986
1998-10-01,132602
1999-01-01,132947
1999-04-01,133378
1999-07-01,133707
1999-10-01,134523
2000-01-01,136701
2000-04-01,136940
2000-07-01,136893
2000-10-01,137614
2001-01-01,137783
2001-04-01,136873
2001-07-01,136846
2001-10-01,136047
2002-01-01,136177
2002-04-01,136415
2002-07-01,137302
2002-10-01,136426
2003-01-01,137434
2003-04-01,137790
2003-07-01,137609
2003-10-01,138411
2004-01-01,138453
2004-04-01,139174
2004-07-01,139487
2004-10-01,140125
2005-01-01,140654
2005-04-01,141714
2005-07-01,142401
2005-10-01,142752
2006-01-01,143741
2006-04-01,144353
2006-07-01,144815
2006-10-01,145970
2007-01-01,146320
2007-04-01,146063
2007-07-01,146244
2007-10-01,146273
2008-01-01,146086
2008-04-01,145737
2008-07-01,145076
2008-10-01,143369
2009-01-01,140707
2009-04-01,140009
2009-07-01,138818
2009-10-01,138013
2010-01-01,138751
2010-04-01,139141
2010-07-01,139396
2010-10-01,139301
2011-01-01,139639
2011-04-01,139384
2011-07-01,140183
2011-10-01,140902
2012-01-01,142036
2012-04-01,142391
2012-07-01,143044
2012-10-01,143330
2013-01-01,143316
2013-04-01,143999
2013-07-01,144418
2013-10-01,144778
2014-01-01,145648
2014-04-01,146247
2014-07-01,146778
2014-10-01,147615
2015-01-01,148128
2015-04-01,148816
2015-07-01,148826
2015-10-01,150128
2016-01-01,151218
2016-04-01,151223
2016-07-01,151761
2016-10-01,152157
2017-01-01,153065
2017-04-01,153318
2017-07-01,154286
2017-10-01,153904
2018-01-01,155214
2018-04-01,155762
2018-07-01,156015
2018-10-01,156817
2019-01-01,156701
2019-04-01,157232
2019-07-01,158339
2019-10-01,158845
